huc,crop,pesticide,days_fish,days_invertebrate_water,days_plant_nonvascular,days_plant_vascular,days_invertebrate_sed,days_any_species
HUC180400020401,Almonds,CHLORPYRIFOS,0,137,0,0,237,237
HUC180400020401,Almonds,DIMETHOATE,0,0,0,0,23,23
HUC180400020401,"Flowers, nursery, and Christmas trees",CHLORPYRIFOS,0,137,0,0,226,226
HUC180400020401,"Flowers, nursery, and Christmas trees",DIMETHOATE,0,0,0,0,0,0
HUC180400020401,Grapes,CHLORPYRIFOS,0,50,0,0,162,162
HUC180400020401,Grapes,DIMETHOATE,0,0,0,0,22,22
HUC180400020401,"Misc. grain, hay, and forage",CHLORPYRIFOS,0,286,0,0,286,286
HUC180400091307-Dry Creek,Cherries,CHLORPYRIFOS,0,0,0,0,40,40
HUC180400091307-Dry Creek,Cherries,DIMETHOATE,0,0,0,0,0,0
HUC180400091307-Dry Creek,"Corn, sorghum, and sudan",CHLORPYRIFOS,0,127,0,0,127,127
HUC180400091307-Dry Creek,Fallow,CHLORPYRIFOS,0,90,0,0,307,307
HUC180400091307-Dry Creek,Fallow,DIMETHOATE,0,0,0,0,25,25
HUC180400091307-Dry Creek,Grapes,DIMETHOATE,0,0,0,0,6,6
HUC180400091307-Dry Creek,"Misc. grain, hay, and forage",CHLORPYRIFOS,0,228,0,0,228,228
HUC180400091307-Dry Creek,"Misc. grain, hay, and forage",DIMETHOATE,0,0,0,0,48,48
HUC180400091307-Dry Creek,Wheat,DIMETHOATE,0,0,0,0,0,0
Adobe Creek-Frontal San Francisco Bay Estuaries,"Flowers, nursery, and Christmas trees",BIFENTHRIN,0,0,0,0,0,0
Adobe Creek-Frontal San Francisco Bay Estuaries,"Flowers, nursery, and Christmas trees",CHLORANTRANILIPROLE,0,0,0,0,0,0
Adobe Creek-Frontal San Francisco Bay Estuaries,"Flowers, nursery, and Christmas trees",CHLORPYRIFOS,0,252,0,0,252,252
Adobe Creek-Frontal San Francisco Bay Estuaries,Grapes,BIFENTHRIN,0,0,0,0,0,0
Adobe Creek-Frontal San Francisco Bay Estuaries,Grapes,CHLORANTRANILIPROLE,0,0,0,0,53,53
Adobe Creek-Frontal San Pablo Bay Estuaries,Fallow,CHLORPYRIFOS,0,125,0,0,245,245
Adobe Creek-Frontal San Pablo Bay Estuaries,Fallow,DIMETHOATE,0,0,0,0,16,16
Adobe Creek-Frontal San Pablo Bay Estuaries,"Flowers, nursery, and Christmas trees",CHLORPYRIFOS,0,113,0,0,216,216
Adobe Creek-Frontal San Pablo Bay Estuaries,Grapes,CHLORPYRIFOS,0,226,0,0,230,230
Adobe Creek-Frontal San Pablo Bay Estuaries,Grapes,DIMETHOATE,0,0,0,0,42,42
Adobe Creek-Frontal San Pablo Bay Estuaries,Misc. agriculture,CHLORPYRIFOS,0,0,0,0,0,0
Adobe Creek-Frontal San Pablo Bay Estuaries,"Misc. grain, hay, and forage",DIMETHOATE,0,0,0,0,0,0
Adobe Creek-Frontal San Pablo Bay Estuaries,Olives,CHLORPYRIFOS,0,285,0,0,285,285
Agua Caliente Creek-Frontal San Francisco Bay Estuaries,Olives,AZOXYSTROBIN,0,0,0,0,0,0
Agua Caliente Creek-Frontal San Francisco Bay Estuaries,Olives,CHLOROTHALONIL,0,0,0,0,0,0
Agua Caliente Creek-Frontal San Francisco Bay Estuaries,Olives,LAMBDA-CYHALOTHRIN,0,0,0,0,0,0
Alamitos Creek,Fallow,AZOXYSTROBIN,0,0,0,0,0,0
Alamitos Creek,Fallow,CHLORANTRANILIPROLE,0,0,0,0,0,0
Alamitos Creek,Fallow,CHLORPYRIFOS,0,144,0,0,144,144
Alamitos Creek,Fallow,CLOTHIANIDIN,0,0,0,0,0,0
Alamitos Creek,Fallow,DIFENOCONAZOLE,0,0,0,0,0,0
Alamitos Creek,Fallow,DINOTEFURAN,0,0,0,0,0,0
Alamitos Creek,Fallow,PENDIMETHALIN,0,0,0,0,0,0
Alamitos Creek,Fallow,SIMAZINE,0,0,0,0,0,0
Alamitos Creek,Fallow,TEBUCONAZOLE,0,0,0,0,0,0
Alamitos Creek,Fallow,THIAMETHOXAM,0,0,0,0,0,0
Alamitos Creek,Misc. deciduous,AZOXYSTROBIN,0,0,0,0,0,0
Alamitos Creek,Misc. deciduous,CHLORANTRANILIPROLE,0,0,0,0,0,0
Alamitos Creek,Misc. deciduous,CLOTHIANIDIN,0,0,0,0,0,0
Alamitos Creek,Misc. deciduous,DIFENOCONAZOLE,0,0,0,0,0,0
