pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
(S)-CYPERMETHRIN,12.9894546589129,169.688712556048,0.00874249680271888,0.000178707168352384,0.0250782042714767,0.000905659691185439,25.0782042714767,0.00578973298193304,0.0416309371558042,0.000131071916082742,0.00539660296464129,0.00485694266817716,0.0578052876866384,0,0
"2,4-D",19.9971235948902,85.8754405744683,58.7290733468413,0.504204421279507,0.0277594454934706,0.000606711927792908,27.7594454934706,0.000587290733468413,0.000437623497368415,0.00242682121267939,0.0217515086469783,0.0151363591100106,0.0403396032005051,0,0
"2,4-D, 2-ETHYLHEXYL ESTER",29.6055656112118,35.7834684774966,51.1335077330865,0.168129237266624,0.0316798205895615,0.000207058723190002,31.6798205895615,0.29728783565748,0.0300785339606391,0.336404656138727,0.154950023433596,0,0,0,0
"2,4-D, BUTOXYETHANOL ESTER",1.03253340505981,0.663292864811995,3.12200394337485,0.00457126485990664,0.00137449908746859,4.23339612346041e-06,1.37449908746859,0.0145888034737142,0.00183647290786756,0.0205394996274661,0.00946061801022681,0,0,0,0
"2,4-D, DIETHANOLAMINE SALT",9.0829035385301,156.944603469162,24.7326058052974,1.03274749959508,0.0187134830801415,0.000121923411945372,18.7134830801415,0.000606191318757289,0.000211209272461976,0.00058262911202114,0.0826624525578122,0.00637438293950964,0.0904368652005622,0,0
"2,4-D, DIMETHYLAMINE SALT",291.357479900873,6294.83143053833,736.440313368888,33.7405996536261,0.399522657264952,0.0364144407986262,399.522657264952,0.00148775820882604,0.00736440313368888,0.0121324598578071,0.491091166557007,0.189804204476518,0.701879992233847,0,0
"2,4-D, ISOOCTYL ESTER",4.930384965542,0.586458815222495,23.04267886266,0.00977013226796017,0.00774721451358595,1.07357547500002e-06,7.74721451358595,0.133969063155,0.0135545169780353,0.151596571464869,0.0698262995838183,0,0,0,0
"2,4-D, TRIISOPROPANOLAMINE SALT",19.3806895805339,22.9006724775837,15.6297826361353,0.0590613049854878,0.036832907835759,0.000204970611278088,36.832907835759,0.000156297826361353,0.000133473805603205,0.000368192759390701,0.0104226344599462,0.0040282944938493,0.0151088933451507,0,0
"2,4-DB ACID",3.63849935950118,1.69654380511695,3.53567049623988,0.0144050145321019,0.00487459753762027,1.93210117374642e-05,4.87459753762027,0.00101019157035425,0.000141426819849595,0.00321424590567262,5.13905595383704e-05,0,0,0,0
"4-(2,4-DB), DIMETHYLAMINE SALT",231.75467586416,701.296439341853,231.093604492531,1.78496610403278,0.317887774788993,0.0114966027334416,317.887774788993,0.0660267441407232,0.00924374417970124,0.21008509499321,0.00335891866994958,0,0,0,0
ACEPHATE,679.717282874165,195.874495329949,227.105132646046,0.582172977429364,1.09888944654991,0.022682484883455,1098.88944654991,0.00206459211496405,0.00337954066437568,0.000231739931271475,0,0,0,0,0
ACETAMIPRID,70.0944414327588,54.297443085428,35.2046392588992,0.189496305148157,0.113848952393284,0.000973744154295929,113.848952393284,0.000352046392588992,0.000706920467046169,0.000358134682186157,0.0352046392588992,0.0125730854496069,0.0491948262503274,0,0
ACIBENZOLAR-S-METHYL,1.59350775930607,0.803489933752574,0.0681174933816167,0.000134746572292673,0.00223050606766352,8.58741196850391e-07,2.23050606766352,0.000170293733454042,2.8382288909007e-05,0.000136234986763233,0.000219733849618118,0,0,0,0
ALLETHRIN,0.0914120653864468,0.156451288712447,0.00555865776031722,3.0675908804622e-05,0.000160940839610509,3.43077468309849e-07,0.160940839610509,2.92560934753538e-07,0.000264697988586534,0,0,0,0,0,0
ATRAZINE,71.0896956598543,134.707816571333,34.6412074371801,0.109438402452157,0.120865639566609,0.000278778616688,120.865639566609,0.00769804609715114,0.000407543616908001,0.587139109104748,1.82322144406211,0.0346412074371801,2.4531073503181,1,0
"ATRAZINE, OTHER RELATED",1.76557147640052,10.3684598589753,0.848101055281275,0.00681326677422271,0.00328363750367042,1.89766943837499e-05,3.28363750367042,0.000188466901173617,9.97765947389735e-06,0.0143745941573097,0.0446368976463829,0.000848101055281275,0.0600580374196214,0,0
AZOXYSTROBIN,138.935208841095,13746.9923917283,77.442404590649,12.4716795808578,0.307065686698546,0.0568416220794527,307.065686698546,0.164771073597126,0.336706106915865,0.215117790529581,0.0242007514345778,0.368773355193567,1.10956907767072,0,0
BENEFIN,1.9066796045904,6.64712224708533,0.0867821592988919,0.000735306767562623,0.00426462005349307,7.84514766072353e-05,4.26462005349307,0.00107138468270237,8.67821592988919e-07,8.67821592988919e-07,0.00433910796494459,0,0,0,0
BENOMYL,0.00189012938695311,0.00220941337225415,0.000116733739683119,8.93926625822488e-08,2.22128813605426e-06,7.16516320144028e-08,0.00222128813605426,6.86669056959523e-07,4.16906213153996e-07,5.83668698415595e-08,5.3060790765054e-08,0,0,0,0
BENSULIDE,50.0614644029204,361.935451896496,1.37544656886659,0.0459566920244424,0.0847537961030149,0.0449078112877741,84.7537961030149,0.0012504059716969,0.00237145960149413,0.00176339303700845,0.012504059716969,0,0,0,0
BETA-CYFLUTHRIN,11.1492265127484,157.956854179035,0.0463432218805448,0.00075113790178935,0.0249935775214352,0.000737907628017004,24.9935775214352,0.681517968831541,0.159804213381189,0.0231716109402724,0.0551705022387438,0.102984937512322,1.02264923290407,0,0
BIFENTHRIN,118.148802546919,7918.21456915463,0.102067475817149,0.0190782909451056,0.255476189044456,0.0195645044155403,255.476189044456,0.392567214681343,0.927886143792266,0.000124169678609671,0.000309295381264089,0.00389570518386066,1.32478252871734,0,0
BOSCALID,519.66545642784,26992.4980963124,177.987246583354,18.0544745727605,1.04835397428346,0.765144012935972,1048.35397428346,0.0659212024382791,0.0333934796591658,0.047463265755561,0.0456377555341932,0,0,0,0
BROMACIL,2.39226590920928,1.55533682246683,14.8290194440545,0.0242693257454325,0.00407396336673162,3.12187056910053e-06,4.07396336673162,0.000411917206779291,0.000124613608773567,1.14069380338881,0.329533765423433,0,0,4,0
CARBARYL,228.535909513375,591.561770202635,118.579818534654,0.551950045541376,0.51642605454181,0.00222649809079369,516.42605454181,0.0456076225133284,18.5280966460397,0.19763303089109,0.00865546120690904,0.912152450266568,19.6921452109176,135,0
CHLORANTRANILIPROLE,60.1469565095016,5126.8576248161,29.1966798780125,6.44143771824999,0.127464947615819,0.0154586971157234,127.464947615819,0.00243305665650104,2.51695516189763,0.00729916996950311,0.0145983399390062,7.29916996950311,9.84045569796575,446,3565
CHLORFENAPYR,4.33248455210513,0.45020513113023,0.0184825488128217,1.49450551848424e-05,0.00308646948487449,6.74515896890797e-05,3.08646948487449,0.00264036411611739,0.00302992603488881,0,0,0,0,0,0
