huc,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
HUC180201110101,87.2077123604121,174.847475963137,10.4937169340513,0.0279291203910231,0.167967850584883,0.00177020344554793,167.967850584883,0.0104922564814987,0.0195137785384325,2.88223876896487,7.01619266045162,0.0276159287186048,0.0703591847897011,21,0
HUC180201110102,282.35098094089,277.354880686403,10.2801795625448,0.0619701932816833,0.217003258422587,0.00502356463655264,217.003258422587,0.0378888238845503,0.164423197989558,2.17535266468613,5.29542991517882,0.0483943035049168,0.0274501007025492,23,0
HUC180201110103,25.2937188183179,68.3335409149356,0.303403098623777,0.00367732017115169,0.0316831311337083,0.00130135389337061,31.6831311337083,0.000286408912640193,0.000572817825280385,0.231371634205602,0.563224663837637,0.00365980085630299,0.00206536090077893,0,0
HUC180201110104,67.4524633020933,159.352929686598,7.5668368118138,0.0229863595692096,0.0797755510786402,0.0162263656318494,79.7755510786402,0.0105863086704538,0.272219365811669,0.0085152441629121,0.451680215061357,0.47638389017042,0.759212162349897,0,0
HUC180201110105,33.0251810650826,103.438321579222,19.0002954269745,0.139958580590715,0.0643514301152458,0.00478076391169371,64.3514301152458,0.00664345993950158,0.0186277406146809,0.0990862339038207,25.4435888417005,0.0112583725636762,0.121994906179305,98,0
HUC180201110201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180201110202,34.6285048650322,3.09841360226836,5.45958144427413,0.00032505230812104,0.0528158574649812,1.24746538596902e-05,52.8158574649812,5.45958144427413e-05,5.45958144427413e-05,0.000287346391803902,0.000454965120356177,0.000545958144427413,0.00139746128547297,0,0
HUC180201110301,147.761009436498,385.000802634048,85.6420102490571,0.7697371533995,0.271751064107623,0.00175414403398152,271.751064107623,0.0114743473972723,0.081293221168833,0.564054758072793,10.4354771180503,0.0210888464572424,0.354561079992202,69,0
HUC180201110302,88.9011644826098,5.66518880222925,14.8379916413903,0.00106341684063921,0.0844916451687485,0.000457952528102332,84.4916451687485,0.00159092215059991,0.0409094267297119,0.000780946928494228,0.00123649930344919,0.0715914967769958,0.114095241664206,0,0
HUC180201110303,22.6987328320973,2.07897970752056,4.66392646668845,0.000825160832124794,0.0341304408374912,3.66323712168637e-05,34.1304408374913,4.66392646668845e-05,4.66392646668845e-05,0.000245469814036234,0.000388660538890704,0.000466392646668845,0.00119380152892955,0,0
HUC180201610101,838.843340881471,1336.65244168828,265.881928012186,1.33021007408526,1.29428127385001,0.0158942651125517,1294.28127385001,0.0970437491786956,24.2609372946739,18.3366846904956,3.6928045557248,101.087238727808,125.454851668935,166,42
HUC180201610102,175.609237455874,1164.44839268781,388.764275467539,1.6215966064514,0.413883635536289,0.176330953798617,413.883635536289,0.0719933843458405,2.13290957715528,3.53422068606853,63.4943942260713,5.96053583957334,7.3973544933258,119,21
HUC180201610301,177.765463263781,551.224715678532,265.549647631539,2.64365053657096,0.362504609629124,0.000524202873821707,362.504609629124,0.104655075209854,0.111108639176376,2.41408770574126,9.06804092644509,0.0665251929927144,0.200161687364988,379,0
HUC180201610302,151.327364935617,760.126225578687,227.444099463148,0.98186518590484,0.209249311363964,0.00630748254813923,209.249311363964,0.0602579938813168,2.12730567391222,2.47004531161607,1.74956999587037,8.86377364130094,11.0004331050199,47,7
HUC180201610303,131.211809712563,2224.32491142153,102.392643826936,2.47952126598159,0.195715294780613,0.00655433556556259,195.715294780613,0.045434836409863,11.3587091024657,1.57128002290074,9.31379379071401,47.3279545936073,58.7366080828734,660,405
HUC180201610401,197.473192097679,541.596776551828,347.85828932175,1.40454311396748,0.486607474192065,0.00291242420878704,486.607474192065,0.06441820172625,0.145547401389854,3.16234808474318,25.6168380142893,0.0747538379869224,0.290986009445595,94,0
HUC180201610402,369.942090441423,1599.26405492515,140.234495381348,2.29756447599481,0.708443158286093,0.00516223839754998,708.443158286093,0.105045461087682,3.96284494754093,2.28271375506395,3.08527148651097,12.6341721300817,15.6797060686077,250,70
HUC180201620501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180201620502,321.132341938083,3078.93618277828,27.5138659808844,1.27582732566482,0.589832297973255,0.00931943973626421,589.832297973255,1.4285330512129,2.97179115182934,1.86808168235533,55.1680594980594,12.3824631326223,15.3673212875272,747,27
HUC180201620503,359.532381522295,4261.07599772409,41.0916969190354,1.44778458318912,0.675004178001742,0.0146057363513894,675.004178001742,0.375528594685739,17.8174190688765,0.491075854589044,68.5007293186827,74.2392461203189,92.1350086049597,400,132
HUC180201620504,154.259948652837,3543.69942276568,67.5002006427738,1.18242134549141,0.228074983524331,0.0267890502890875,228.074983524331,0.101755243824873,8.39244966085168,2.83825206327715,7.06926610261783,34.9685402535487,43.3978916211245,462,52
HUC180201630101,93.3935527484112,971.107010188816,106.764960350156,0.860617497766236,0.125883482478619,0.00384617529148406,125.883482478619,0.370948967688028,0.800173212370725,1.8158135064627,21.8054628059948,13.7645220435188,13.7743762854788,281,28
HUC180201630102,123.674700691671,3031.36467590589,59.7378705382885,0.913636173631957,0.203099471351813,0.00433124441403872,203.099471351813,0.143946770463866,3.85410742070028,2.22168272778402,10.4588921904994,23.6724267562606,23.6893742260165,362,54
HUC180201630201,108.380235759673,2096.95352736097,149.136105459419,1.97261364295649,0.199030780781121,0.00818822939327128,199.030780781121,0.139839242439142,3.18404230949071,1.6387522574806,4.01135811220645,13.2668429562113,16.4648855397877,291,59
HUC180201630202,198.887641734934,4793.8980099745,56.7970955919342,1.22219025410354,0.348834463331666,0.00445410990666262,348.834463331666,0.180672402820229,6.85899513423867,1.94848678756502,17.6833287118682,28.5791463926611,35.4683006147817,723,61
